ID;ID vendeur;ID produit;ID variante;Reference vendeur;Quantité;Prix HT;Prix TTC;Prix HT avec remise;Prix TTC avec remise;Quantite minimum;Actif
1038;57;7515;1322;QSC;10;54.170000;65.000000;54.17;65;1;Oui
1045;57;7518;1329;THT;20;14.170000;17.000000;14.17;17;1;Oui
1046;57;7519;1330;HM;0;287.500000;345.000000;287.5;345;1;Oui
1047;55;7520;1331;4T-PB01-EL;997;10.750000;12.900000;9.14;10.965;1;Oui
1049;46;7523;1333;9782757603369;1420;26.070000;27.500000;26.07;27.5;1;Oui
1050;46;7524;1334;9782757603826;2797;22.920000;27.500000;22.92;27.5;1;Oui
1082;54;7537;1370;TBEACH;;269.000000;322.800000;269;322.8;1;Oui
1083;55;7538;1371;4T-PB02-L;995;14.920000;17.900000;12.68;15.214999999999998;1;Oui
1084;55;7539;1372;4T-PB03-M;998;18.250000;21.900000;15.51;18.615;1;Oui
1085;55;7540;1373;4T-PB04-F;1000;22.420000;26.900000;19.05;22.865;1;Oui
1086;55;7541;1374;4T-PB05-TF;999;29.080000;34.900000;24.72;29.665;1;Oui
1087;55;7542;1375;4T-PB06-EF;1000;36.580000;43.900000;31.1;37.315;1;Oui
1090;57;7516;1378;SWS;0;154.170000;185.000000;154.17;185;1;Oui
1093;57;7516;1381;SWS;2;154.170000;185.000000;154.17;185;1;Oui
1094;57;7517;1382;SO;4;66.250000;79.500000;66.25;79.5;1;Oui
1097;57;7517;1385;SO;3;66.250000;79.500000;66.25;79.5;1;Oui
1100;57;7546;1388;SM1;0;40.000000;48.000000;40;48;1;Oui
1101;57;7547;1389;SM2;0;48.000000;57.600000;48;57.6;1;Oui
1102;57;7548;1390;SM3;0;56.000000;67.200000;56;67.2;1;Oui
1103;57;7549;1391;SMP;0;137.000000;164.400000;137;164.4;1;Oui
1104;55;7544;1392;4T-WB-12;998;41.580000;49.900000;35.35;42.415;1;Oui
1105;55;7544;1393;4T-WB-12;1000;49.920000;59.900000;42.43;50.915;1;Oui
1106;55;7544;1394;4T-WB-12;1000;54.170000;65.000000;46.04;55.25;1;Oui
1107;55;7544;1395;4T-WB-12;0;62.420000;74.900000;53.05;63.665000000000006;1;Oui
1108;55;7544;1396;4T-WB-12;1000;66.580000;79.900000;56.6;67.915;1;Oui
1109;55;7543;1397;4T-MB02-1;990;15.750000;18.900000;13.39;16.064999999999998;1;Oui
1110;55;7543;1398;4T-MB02-1;988;19.080000;22.900000;16.22;19.465;1;Oui
1111;55;7543;1399;4T-MB02-1;998;24.080000;28.900000;20.47;24.564999999999998;1;Oui
1112;55;7543;1400;4T-MB02-1;995;29.080000;34.900000;24.72;29.665;1;Oui
1113;55;7543;1401;4T-MB02-1;999;32.420000;38.900000;27.55;33.065;1;Oui
1118;55;7554;1406;4T-PBSET;997;130.420000;156.500000;130.42;156.5;1;Oui
1119;55;7555;1407;4T-FL-01;0;12.420000;14.900000;12.42;14.9;0;Oui
1120;55;7556;1408;4T-RB-01;997;41.580000;49.900000;35.35;42.415;1;Oui
1121;55;7557;1409;4T-TIMER-01;1000;249.170000;299.000000;249.17;299;1;Oui
1122;55;7558;1410;4T-CO15-CK;996;115.830000;139.000000;98.46;118.15;1;Oui
1123;55;7559;1411;4T-CO15-CP;1000;157.500000;189.000000;133.88;160.65;1;Oui
1125;55;7560;1413;4T-WT01-10;1000;62.420000;74.900000;53.05;63.665000000000006;1;Oui
1126;55;7560;1414;4T-WT01-10;1000;115.830000;139.000000;98.46;118.15;1;Oui
1128;55;7562;1416;4T-PROP-01;994;23.250000;27.900000;19.76;23.715;1;Oui
1129;55;7563;1417;4T-PAD-01;999;41.580000;49.900000;35.35;42.415;1;Oui
1135;68;7568;1423;1069;68;562.880000;675.460000;562.88;675.46;1;Oui
1137;68;7571;1425;1071;6396;1.041700;1.250000;1.0417;1.25;30;Oui
1139;45;7572;1429;TYKO;295;11.500000;13.800000;11.5;13.8;1;Oui
1140;45;7572;1430;TYKO;296;11.500000;13.800000;11.5;13.8;1;Oui
1141;45;7572;1431;TYKO;299;11.500000;13.800000;11.5;13.8;1;Oui
1142;45;7572;1432;TYKO;300;11.500000;13.800000;11.5;13.8;1;Oui
1143;68;7581;1439;1065;15;294.830000;353.800000;294.83;353.8;1;Oui
1145;55;7561;1441;4T-SB65CM;993;14.920000;17.900000;12.68;15.214999999999998;1;Oui
1146;55;7561;1442;4T-SB65CM;994;16.580000;19.900000;14.1;16.915;1;Oui
1147;68;7583;1443;1066;11;40.000000;48.000000;40;48;1;Oui
1153;45;7588;1449;Speesy;300;15.800000;18.960000;15.8;18.96;1;Oui
1154;45;7588;1450;Speesy;300;15.800000;18.960000;15.8;18.96;1;Oui
1155;45;7588;1451;Speesy;300;15.800000;18.960000;15.8;18.96;1;Oui
1156;45;7588;1452;Speesy;300;15.800000;18.960000;15.8;18.96;1;Oui
1157;45;7588;1453;Speesy;300;15.800000;18.960000;15.8;18.96;1;Oui
1166;45;7588;1462;Speesy;300;15.800000;18.960000;15.8;18.96;1;Oui
1167;45;7572;1463;TYKO;298;11.500000;13.800000;11.5;13.8;1;Oui
1169;45;7597;1465;MaxitykoG;150;24.900000;29.880000;24.9;29.88;1;Oui
1170;45;7597;1466;MaxitykoG;60;24.900000;29.880000;24.9;29.88;1;Oui
1171;45;7597;1467;MaxitykoG;60;24.900000;29.880000;24.9;29.88;1;Oui
1173;45;7598;1469;SystemefurboG;98;102.500000;123.000000;102.5;123;1;Oui
1174;45;7598;1470;SystemefurboG;97;102.500000;123.000000;102.5;123;1;Oui
1175;45;7598;1471;SystemefurboG;100;102.500000;123.000000;102.5;123;1;Oui
1176;45;7598;1472;SystemefurboG;97;102.500000;123.000000;102.5;123;1;Oui
1177;45;7598;1473;SystemefurboG;100;102.500000;123.000000;102.5;123;1;Oui
1179;45;7599;1475;PleasyG;100;104.900000;125.880000;104.9;125.88;1;Oui
1180;45;7599;1476;PleasyG;100;104.900000;125.880000;104.9;125.88;1;Oui
1181;45;7599;1477;PleasyG;100;104.900000;125.880000;104.9;125.88;1;Oui
1182;45;7599;1478;PleasyG;100;104.900000;125.880000;104.9;125.88;1;Oui
1184;45;7600;1480;PleasyGss;100;113.900000;136.680000;113.9;136.68;1;Oui
1185;45;7600;1481;PleasyGss;100;113.900000;136.680000;113.9;136.68;1;Oui
1186;45;7600;1482;PleasyGss;100;113.900000;136.680000;113.9;136.68;1;Oui
1187;45;7600;1483;PleasyGss;100;113.900000;136.680000;113.9;136.68;1;Oui
1188;43;7601;1484;8031;47;71.920000;86.300000;71.92;86.3;1;Oui
1189;42;7608;1485;P1588240646;919;99.170000;119.000000;99.17;119;1;Oui
1272;76;7768;1598;860155;1000;7.500000;9.000000;7.5;9;1;Non
1273;76;7768;1599;860155;1000;7.500000;9.000000;7.5;9;1;Non
1274;76;7768;1600;860155;1000;7.500000;9.000000;7.5;9;1;Non
1275;76;7769;1601;657002;1000;28.330000;34.000000;28.33;34;1;Non
1276;76;7770;1603;140245;1000;17.500000;21.000000;17.5;21;1;Non
1277;76;7771;1605;140244;1000;16.666667;20.000000;16.666667;20;1;Non
1278;76;7772;1607;140243;1000;16.250000;19.500000;16.25;19.5;1;Non
1279;76;7773;1609;140242;1000;15.833333;19.000000;15.833333;19;1;Non
1280;76;7774;1611;102340;1000;158.291700;189.950000;158.2917;189.95;1;Non
1281;76;7774;1612;102340;1000;158.291700;189.950000;158.2917;189.95;1;Non
1282;76;7774;1613;102340;1000;158.291700;189.950000;158.2917;189.95;1;Non
1283;76;7774;1614;102340;1000;158.291700;189.950000;158.2917;189.95;1;Non
1284;76;7774;1615;102340;1000;158.291700;189.950000;158.2917;189.95;1;Non
1285;76;7774;1616;102340;1000;158.291700;189.950000;158.2917;189.95;1;Non
1286;76;7775;1618;102338;1000;166.630000;199.960000;166.63;199.96;1;Non
1287;76;7775;1619;102338;1000;166.630000;199.960000;166.63;199.96;1;Non
1288;76;7775;1620;102338;1000;166.630000;199.960000;166.63;199.96;1;Non
1289;76;7775;1621;102338;1000;166.630000;199.960000;166.63;199.96;1;Non
1290;76;7775;1622;102338;1000;166.630000;199.960000;166.63;199.96;1;Non
1291;76;7775;1623;102338;1000;166.630000;199.960000;166.63;199.96;1;Non
1292;76;7776;1625;243136;1000;187.458300;224.950000;187.4583;224.95;1;Non
1293;76;7776;1626;243136;1000;187.458300;224.950000;187.4583;224.95;1;Non
1294;76;7776;1627;243136;1000;187.458300;224.950000;187.4583;224.95;1;Non
1295;76;7776;1628;243136;1000;187.458300;224.950000;187.4583;224.95;1;Non
1296;76;7776;1629;243136;1000;187.458300;224.950000;187.4583;224.95;1;Non
1297;76;7776;1630;243136;1000;187.458300;224.950000;187.4583;224.95;1;Non
