ID;Debut;Fin;Statut;Produits HT;Livraison HT;Livraison TTC;Total HT;Total TVA;Total TTC;Comission HT;Comission TTC;Commandes remboursees TTC;Comissions remboursees TTC;Vendeur;Commandes
403;02-11-2020  10:49;;open;264.58;18.67;22.40;283.25;56.64999999999998;339.90;28.33;33.99;0;0;Wilson;VPWBGIXUI,MUQXEHVLU
402;02-11-2020  10:58;;open;0;0;0;0;0;0;0;0;0;0;Test Origami Marketplace;
401;02-11-2020  10:58;;open;0;0;0;0;0;0;0;0;0;0;2CI;
400;02-11-2020  10:58;;open;149.92;0.00;0.00;149.92;29.980000000000018;179.90;20.99;25.19;0;0;Chalet-Jardin;FNBJDKLVM
399;02-11-2020  10:48;;open;208.00;0.00;0.00;208.00;42;250.00;25.00;30.01;0;0;LSC Maintenance;MWGYXLEYX,WJBCFMTWQ
398;02-11-2020  10:48;;open;1116.73;95.75;114.90;1212.48;242.51999999999998;1455.00;157.62;189.15;0;0;Huck Occitania;ATZENHIOI,LOFOQRXRC,SLDVBGEMA
397;02-11-2020  10:48;;open;777.94;163.14;195.76;941.08;188.2499999999999;1129.33;112.94;135.54;0;0;Cress Sport;XFSREIBOC,BDNATNILP,TRVUJFBRJ,GEYBHOVCL,CFXYHJEVO,CQTLHAXWS,JTGECQOKG,VKAPHLTCS,HOOZGZSFZ,QEUWIRTAD,ALPQIYVNG,EINKKZGRV,UHSWVEAVG,NIFPWXWXZ,GAAOQMVSK,JFQEALAOE,VKCKAHCSU
396;02-11-2020  10:47;;open;66.66;0.00;0.00;66.66;13.320000000000007;79.98;8.00;9.60;0;0;Jumbee;NHPVOEEAP,OOFLUFOZQ
395;02-11-2020  10:47;;open;134.80;27.30;32.76;162.10;32.41;194.51;17.82;21.39;0;0;SCFR Impex;KWSOKRNOH,FZVTZGLKQ,WUWJVJLZX
394;02-11-2020  10:47;;open;0;0;0;0;0;0;0;0;0;0;Innoquipe;
393;02-11-2020  10:46;;open;113.76;10.79;12.95;124.55;24.89999999999999;149.45;14.95;17.93;0;0;VW Sports;BUSZWNTSV
392;02-11-2020  10:46;;open;2018.30;66.62;73.28;2084.92;410.3600000000001;2495.28;270.24;270.24;0;0;Netsportique;JNODLVZCJ,TQSOTOPIO,QMQECNQQA,HNRVIWUCD,TUDKYQHQB,FZZRKSJCX,NHPVOEEAP,VDYCPHYQY,XPEVDEIXY,WAVBKFUWY
391;02-11-2020  10:46;;open;0;0;0;0;0;0;0;0;0;0;SLS Distribution;
390;02-11-2020  10:45;;open;36.00;0.00;0.00;36.00;7.200000000000003;43.20;4.68;5.62;0;0;CMJN IMPRESSION;VDLUGKQZH
389;02-11-2020  10:45;;open;474.14;94.15;112.98;568.29;113.63999999999999;681.93;68.21;81.83;0;0;CLICK FOR TENNIS;TRVUJFBRJ,VVPXZBBVE,KWSOKRNOH,XAHYYDBZT,PBSFWWBEV,HOOZGZSFZ,GGAPYBYII,WUWJVJLZX,GSRCUODPQ,NIFPWXWXZ,FTRMIKWOS,NHPVOEEAP
388;02-11-2020  10:45;;open;0;0;0;0;0;0;0;0;0;0;Tennis Scorer;
387;02-11-2020  10:44;;open;0;0;0;0;0;0;0;0;0;0;CIDI Event;
386;02-11-2020  10:44;;open;39.84;8.58;10.30;48.42;9.68;58.10;5.81;6.97;0;0;Ballbox;GGAPYBYII
385;02-11-2020  10:44;;open;0;0;0;0;0;0;0;0;0;0;Tupi caoutchouc;
384;02-11-2020  10:43;;open;477.18;39.30;47.16;516.48;103.27999999999997;619.76;43.39;52.06;0;0;EXTREME TENNIS;RPITIHSWB,KCGMKKCKY,TCTWHQAFT,HCAWDDIPH,ZVUDHXSNB,OPOBAYTHO,CWZWERVMN
383;02-11-2020  10:43;;open;0;0;0;0;0;0;0;0;0;0;PADEL BEACH;
382;02-11-2020  10:43;;open;512.50;93.33;112.00;605.83;121.16999999999996;727.00;72.70;87.24;0;0;Plastimark France;CKGEXFGFW,EJQNSBCNO
381;20-10-2020  08:11;;open;0;0;0;0;0;0;0;0;0;0;MATCHPOINT PRO SHOP TENNIS EAUBONNE;
380;15-10-2020  13:19;02-11-2020  10:43;close;49.80;37.50;45.00;87.30;17.460000000000008;104.76;10.48;12.57;0;0;Plastimark France;XFSREIBOC
379;15-10-2020  13:19;02-11-2020  10:43;close;278.00;0.00;0.00;278.00;0;278.00;30.12;36.14;0;0;PADEL BEACH;XRRTQTFPR,XPLTVRYBW
378;15-10-2020  13:19;;open;0;0;0;0;0;0;0;0;0;0;Tween;
377;15-10-2020  13:19;02-11-2020  10:43;close;1097.46;111.10;133.32;1208.56;241.60000000000014;1450.16;101.50;121.82;52.89;4.44;EXTREME TENNIS;RHDWQRYYW,JUJUISXNO,RTZUCPADZ,EOPMZSDIJ,MKPLXSJOJ,GJOVIWWXA,CBITTNGNP,XCNVTLYFB,IFTEHQGAW,ZPMTUVOUT,BQIYAQKXJ,PFRYDNKOV,AVHJMYSGU,GNDALTXJQ,YHAUCCBFV,ESYMIAHUD,TPANUGPOR,TPFYONBWL,EKNFMRTHO
376;15-10-2020  13:19;02-11-2020  10:44;close;41.75;11.45;13.74;53.20;10.64;63.84;6.38;7.66;0;0;Tupi caoutchouc;TRVUJFBRJ
375;15-10-2020  13:19;02-11-2020  10:44;close;15.93;6.88;8.26;22.81;4.57;27.38;2.74;3.29;0;0;Ballbox;GJOVIWWXA
374;15-10-2020  13:19;;open;0;0;0;0;0;0;0;0;0;0;Vendeur Carte Cadeau;
373;15-10-2020  13:19;02-11-2020  10:44;close;67.00;35.00;42.00;102.00;20.400000000000006;122.40;12.24;14.69;0;0;CIDI Event;EGKGQEJVA
372;15-10-2020  13:19;02-11-2020  10:45;close;2135.18;93.35;112.00;2228.53;445.6899999999996;2674.22;267.43;320.91;0;0;Tennis Scorer;OYHAOXSBO,WRYAPVRXF,XNUQZBYOW,WBTCTIXIZ,OFFRHNKJD,EILGOIILM,CTIQBWFET,XLCCCMONM,ZLEKVAKGB,ZYQWMANPE,OYYAWPWUS,MHPDHZKPK,YKTCFRMTZ,YDTNUETAN
371;15-10-2020  13:19;;open;0;0;0;0;0;0;0;0;0;0;Manutan Collectivités;
370;15-10-2020  13:19;02-11-2020  10:45;close;1371.92;203.30;243.96;1575.22;291.06999999999994;1866.29;186.66;223.94;60.18;7.22;CLICK FOR TENNIS;LKJILMBKZ,SJMRWOSMU,OJZBOOQHJ,RKEJJZLMU,RTLGHFNVK,IFZKGTRHF,ZYQWMANPE,RHDWQRYYW,LRSTQZKVJ,RMVGTMTXD,OQLPEDJLH,FBMFSKXBO,BZLBUOSIO,AFVCYOVFB,GPCHVLYBQ,LELAIZNNI,TMMZDOQGE,NUCYSHSCW,RYBJJVJPZ,IHRMAFSFI,CFXYHJEVO,BFCSESZXY,IVRNNRVSF,HEAZNPOHR,UMXWUIPGU
369;15-10-2020  13:19;02-11-2020  10:45;close;853.25;0.00;0.00;853.25;170.64999999999998;1023.90;110.93;133.10;0;0;CMJN IMPRESSION;PIRLCDVHM,BBMZNCWEM,CTIQBWFET,YYPSBXOMO,NTZLDSCSJ,UNQCIYOCQ,YSMEQWBWC,PFEDFJOLF,YHUFNUCUH,DYFGBCKFS,KOUNUPJDU
368;15-10-2020  13:19;02-11-2020  10:46;close;73.26;35.00;42.00;108.26;21.64;129.90;12.99;15.60;0;0;SLS Distribution;JHOLZRVUA,ECJYRALWS,EJQNSBCNO,GAAOQMVSK,HXPOZFLVQ
367;15-10-2020  13:19;02-11-2020  10:46;close;12055.48;245.62;265.60;12301.10;2431.2700000000004;14732.37;1565.67;1565.67;0;0;Netsportique;CRARIYGZY,VVPXZBBVE,NTYAPXMIF,GEYBHOVCL,SMFLEAFGF,ZPUZJLFMP,GLFYUPKSY,ZLEKVAKGB,IFZKGTRHF,UXQHDWHKL,ICRQQCMUO,OYYAWPWUS,JMSBWLCET,JDLCQWYVH,ZJNCAIXMG,YXFOQRDED,RJQKRTZDZ,YHUFNUCUH,TTJAOYGEL,HSSLCTDVW,AHYPAJNBB,HKNYWPGYM,NVEEPEIQO,YDSNCQXPO,TDICJUBTY,KOUNUPJDU,DDOOKWYGW,BKXCNQCRO,TKAWZLBBP,QHMDYNBDT,VOEBLWCFI,YQFQUPAZU,LOFOQRXRC,PBSFWWBEV,VKAPHLTCS,CZUIHTMRI,ZZCSCXRXP,TGPKTUGCI,UHSWVEAVG,YNYDXGGAZ,GAAOQMVSK
