ID vendeur;Date;Vendeur;ID avis;Note;Avis;ID commande;ID client
34;25/02/2020;F.F.T.;33;3.00;bonne expérience, le seul souci est que les livraisons ne sont pas centralisées donc plusieurs réceptions à différents moments (pollution, logistique etc...);337;736
34;25/02/2020;F.F.T.;37;4.00;Commande reçue assez rapidement.;219;160
34;01/03/2020;F.F.T.;42;5.00;Interface simple, commande livrée rapidement.;607;1459
34;29/05/2020;F.F.T.;61;5.00;difficulté suite crise covid-19;820;897
34;29/05/2020;F.F.T.;65;2.50;"La commande a été passée il y a 2 mois ! Il est vrai que la période que nous venons de vivre est exceptionnelle et à eu des répercutions sur les livraisons 
mais il n'y a eu aucune communication.";831;1829
34;29/05/2020;F.F.T.;67;3.14;frais de livraison exagérés;887;1220
34;30/05/2020;F.F.T.;70;3.86;'' ';828;1813
34;01/06/2020;F.F.T.;72;3.86;Déçu car +15 jours pour cette livraison.;823;1817
34;11/06/2020;F.F.T.;96;2.36;Bonjour j'avais demandé des cles et deux cadenas avec des lettres différentes de A et I , j'ai reçu des cadenas I et des Clés E;1055;2224
34;13/06/2020;F.F.T.;101;4.50;"Livraison rapide. Pas de contact direct avec le vendeur puisque commande en ligne
J'aurais aimé avoir l'info sur le délai quand j'ai passé la commande.";1262;1755
34;18/06/2020;F.F.T.;116;4.14;Une honte de faire payer les frais de ports;1260;698
34;18/06/2020;F.F.T.;118;3.93;BONNE EXPERIENCE;1128;2368
34;20/06/2020;F.F.T.;133;5.00;livraison dans la boite à lettre très bien;1283;2438
34;23/06/2020;F.F.T.;140;3.86;Délai de livraison trop long.;1401;1177
34;24/06/2020;F.F.T.;146;4.07;Aucunes communication sur les délais de livraison. Mais reçu 10 jours après la commande.;1309;408
34;24/06/2020;F.F.T.;148;3.86;"pas de problème particulier; délai de livraison un peu long";1297;2449
34;26/06/2020;F.F.T.;156;4.36;Très bien;1418;2515
34;03/07/2020;F.F.T.;158;1.00;Commande catastrophique : adresse fausse alors que j'avais donné la bonne adresse, les balles violettes sont graisseuses, j'ai dû les laver, la pompe est rouillée à l'intérieur et l'autocollant est décollé... franchement j'ai dû aller 4 fois à la Poste pour récupérer mon colis et la prochaine fois, pour les balles violettes ce sera chez Artengo, au moins elles sont propres et déjà gonflées et déjà à la bonne adresse...;1560;2669
34;07/07/2020;F.F.T.;168;4.29;Très bon vendeur. Je recommande ce vendeur.;1419;2515
34;14/07/2020;F.F.T.;176;4.21;"Je n'ai pas pu le recevoir, mais il m'as tenue au courant par téléphone. 
Très bonne livraison!!!";1628;2765
34;16/07/2020;F.F.T.;192;5.00;"Bonjour,
J'ai commandé 80 cartes fléchées au prix de 100 € ttc, qui ont été retirés par contre la facture qui était avec les cartes était de 80 € ttc.
Qu'en pensez-vous ? ou est l'erreur ?
Cordialement 
Guy Bruyassier Président du SAS Tennis";1696;2676
34;16/07/2020;F.F.T.;194;4.50;RAS - Produit conforme à nos attentes - livraison rapide - n'avons pas eu de contact direct avec le vendeur;1687;1727
34;24/07/2020;F.F.T.;209;5.00;Satisfait;1706;942
34;25/07/2020;F.F.T.;213;4.71;Communication par mail;1714;2208
34;21/09/2020;F.F.T.;246;5.00;pas de vendeur;2510;3571
34;21/09/2020;F.F.T.;261;5.00;Ras rien à dire;2595;3637
34;21/09/2020;F.F.T.;275;5.00;Que des félicitations!!!!;2706;3676
34;22/09/2020;F.F.T.;281;5.00;"Bonjour,
Du fait de la multiplicité des vendeurs pour une commande, les frais de port sont TRES cher!  Je ne me rappelle pas avoir payé pour une commande de drapeaux FFT sur la centrale. Là oui. 
Niveau gestion : un mail par vendeur au lieu d'un mail groupé.
L'idée de réunir plusieurs professionnels, c'est bien et encore on trouve pas autant de chose qu'avant. 
Des progrès à faire..";2757;3607
34;22/09/2020;F.F.T.;282;4.71;Vendeur réactif car le produit commandé était épuisé. Une demande par téléphone sur le changement de produit fut la bienvenue .;2498;3550
34;25/09/2020;F.F.T.;290;5.00;Commande parfaite, emballage et protection OK, délai de livraison très rapide.;2748;3722
34;25/09/2020;F.F.T.;293;3.93;Impossible d’avoir une adresse de livraison et une autre adresse pour la facture !;2858;326
34;25/09/2020;F.F.T.;295;5.00;RAS;2815;3774
34;26/09/2020;F.F.T.;301;4.14;...;2839;3800
34;06/10/2020;F.F.T.;335;4.50;Difficile de trouver le produit recherché sur le site;3081;3971
34;11/10/2020;F.F.T.;341;4.43;Parfait;1911;3072
34;12/10/2020;F.F.T.;348;3.86;le délai de livraison est pas précis, les factures sont jamais en ligne;3266;243
34;17/10/2020;F.F.T.;366;5.00;Ras;3438;4334
