ID;Statut;Date de creation;Date de modification;Commande;De;Sujet;Message;Date du message;Vendeur;Tags
37;close;17/12/2019;02/01/2020;XQTLPHQHX;customer;"Customers Desk - Bonjour, 

Le club souhaiterait";"Bonjour, 

Le club souhaiterait distribuer ces m&eacute;dailles pour la f&ecirc;te de no&euml;l qui aura lieu le samedi 21 d&eacute;cembre.  Merci de faire votre possible pour que la commande arrive &agrave; temps 

Cordialement";17/12/2019;F.F.T.;
38;close;18/12/2019;06/01/2020;LTJKFUZWT;customer;Customers Desk - Bonjour, Merci de bien vouloir;"Bonjour, Merci de bien vouloir livrer aux heures d&#039;ouvertures de la mairie. Cordialement. Lauren M.";18/12/2019;Huck Occitania;
39;close;18/12/2019;09/01/2020;FPXOWZAXT;customer;"Customers Desk - T&eacute;l&eacute;phone accueil";"T&eacute;l&eacute;phone accueil piscine 01 48 90 25 45 pour horaire d&#039;ouverture";18/12/2019;Innoquipe;
40;close;18/12/2019;14/02/2020;FPXOWZAXT;customer;"Customers Desk - T&eacute;l&eacute;phone accueil";"T&eacute;l&eacute;phone accueil piscine 01 48 90 25 45 pour horaire d&#039;ouverture";18/12/2019;SLS Distribution;
41;close;18/12/2019;06/01/2020;JNBANCBAK;customer;Customers Desk - Sonner chez m et mme guerin;Sonner chez m et mme guerin;18/12/2019;Huck Occitania;
42;close;19/12/2019;14/02/2020;FPXOWZAXT;seller;Rupture stock machine;"Bonjour,
Suite à un gros volume de ventes de machines, nous sommes en rupture de stock. Les prochaines machines disponibles seront en cours janvier.
Nous vous tiendrons informés d'une date de disponibilité plus précise première semaine de janvier.
Nous vous prions de nous excuser pour ce retard et vous souhaitons de bonnes fêtes de fin d'année.
Bien cordialement.
Le service commercial";19/12/2019;SLS Distribution;
43;close;20/12/2019;02/01/2020;RLFPWCOCP;customer;"Customers Desk - Fermeture du comit&eacute; du";"Fermeture du comité du 24/12 (soir) au 29/12. Le comité est fermé le mercredi après-midi tout au long de l'année.
Horaires de bureau : L, M, J 8h30-12h30 / 13h30-16h30";20/12/2019;F.F.T.;
44;close;27/12/2019;14/02/2020;DUBEOGXXQ;customer;Customers Desk - En cas d'absence vous pouvez;En cas d'absence vous pouvez déposer la commande chez mon voisin (Jean Paul Verriser au numéro 34, maison juste à côté);27/12/2019;Babolat;
45;close;27/12/2019;14/02/2020;DUBEOGXXQ;customer;Customers Desk - En cas d'absence vous pouvez;En cas d'absence vous pouvez déposer la commande chez mon voisin (Jean Paul Verriser au numéro 34, maison juste à côté);27/12/2019;Nemo loisirs pro;Remboursement
46;close;29/12/2019;14/02/2020;NWQAHAVHH;customer;Customers Desk - Livraison à partir du;Livraison à partir du 2/1/20 tous les jours de 10 à 20h sauf le lundi à partir de 15h;29/12/2019;Manutan Collectivités;Informations de livraison
46;close;29/12/2019;14/02/2020;NWQAHAVHH;customer;Customers Desk - Livraison à partir du;"Bonjour
Pourriez vous svp m'indiquer la date de livraison ?
Bonne journée
Gérard Lecallier Président TC Bry";17/01/2020;Manutan Collectivités;Informations de livraison
46;close;29/12/2019;14/02/2020;NWQAHAVHH;customer;Customers Desk - Livraison à partir du;"Nouveau message : Bonjour
Pourriez vous svp m'indiquer la date de livraison ?
Bonne journée
Gérard Lecallier Président TC Bry";20/01/2020;Manutan Collectivités;Informations de livraison
